             V1          V2          V3          V4          V5
V1   1.00000000  0.42628035  0.29630589  0.06103865 -0.05533585
V2   0.42628035  1.00000000  0.85754866  0.60952091  0.43379677
V3   0.29630589  0.85754866  1.00000000  0.80300965  0.68290935
V4   0.06103865  0.60952091  0.80300965  1.00000000  0.94224443
V5  -0.05533585  0.43379677  0.68290935  0.94224443  1.00000000
V6   0.75420787  0.02522827 -0.08241507 -0.32769150 -0.39255125
V7   0.49792898  0.40692287  0.12591025 -0.22321966 -0.35501874
V8   0.44756461  0.39635353  0.18496247 -0.15823074 -0.28596556
V9   0.16746557  0.01560657 -0.08817391 -0.24503392 -0.26019779
V10  0.10040744 -0.04090215 -0.13505636 -0.22087303 -0.21181281
             V6         V7         V8          V9         V10
V1   0.75420787  0.4979290  0.4475646  0.16746557  0.10040744
V2   0.02522827  0.4069229  0.3963535  0.01560657 -0.04090215
V3  -0.08241507  0.1259103  0.1849625 -0.08817391 -0.13505636
V4  -0.32769150 -0.2232197 -0.1582307 -0.24503392 -0.22087303
V5  -0.39255125 -0.3550187 -0.2859656 -0.26019779 -0.21181281
V6   1.00000000  0.5490152  0.5185027  0.34711201  0.27851280
V7   0.54901522  1.0000000  0.9033667  0.51649906  0.42254940
V8   0.51850270  0.9033667  1.0000000  0.77280690  0.68564528
V9   0.34711201  0.5164991  0.7728069  1.00000000  0.98486650
V10  0.27851280  0.4225494  0.6856453  0.98486650  1.00000000
